,name,price
0,ONGC,202.00
1,RELIANCE,"2,555.00"
2,AXISBANK,"1,123.80"
3,SUNPHARMA,"1,264.80"
4,NESTLEIND,"24,569.80"
5,BAJFINANCE,"7,641.00"
6,TECHM,"1,300.00"
7,NTPC,305.00
8,HEROMOTOCO,"3,912.80"
9,M&M,"1,720.00"
10,BHARTIARTL,995.45
11,DRREDDY,"5,620.00"
12,LTIM,"6,169.00"
13,ICICIBANK,"1,025.50"
14,ITC,453.35
15,INFY,"1,570.10"
16,TATACONSUM,953.00
17,ADANIENT,"2,988.80"
18,HINDALCO,567.95
19,TATAMOTORS,732.60
20,BRITANNIA,"4,891.35"
21,EICHERMOT,"4,094.80"
22,CIPLA,"1,219.45"
23,APOLLOHOSP,"5,508.80"
24,KOTAKBANK,"1,849.85"
25,POWERGRID,232.15
26,ASIANPAINT,"3,335.95"
27,HDFCLIFE,673.00
28,WIPRO,445.60
29,JSWSTEEL,855.55
30,UPL,607.00
31,BAJAJ-AUTO,"6,470.00"
32,ADANIPORTS,"1,095.00"
33,TATASTEEL,136.65
34,BAJAJFINSV,"1,725.00"
35,ULTRACEMCO,"9,970.35"
36,MARUTI,"10,319.60"
37,BPCL,447.25
38,SBIN,648.50
39,INDUSINDBK,"1,556.35"
40,DIVISLAB,"3,713.00"
41,HINDUNILVR,"2,535.05"
42,LT,"3,488.95"
43,GRASIM,"2,107.05"
44,SBILIFE,"1,444.95"
45,HCLTECH,"1,501.50"
46,TITAN,"3,610.65"
47,COALINDIA,346.50
48,HDFCBANK,"1,650.00"
49,TCS,"3,845.00"
